name,url,state,revenue,growth_%,industry,workers,founded,yrs_on_list,city
The Revenue Optimization Companies,trocglobal.com,Florida,14600000.0,315,Business Products & Services,4011,2000,4,Coral Gables
The Exterior Company,theexteriorcompany.com,Pennsylvania,3600000.0,314,Construction,57,2012,4,Lancaster
Jennaration Boutique,jennarationboutique.com,Alabama,300000.0,314,Retail,25,2013,2,Tuscaloosa
Tinuiti,http://elitesem.com,New York,9000000.0,314,Advertising & Marketing,508,2004,7,New York
DKP Express,dkp-express.com,Minnesota,200000.0,314,Logistics & Transportation,10,2012,1,Crystal
FlexFunds ETP,flexfunds.com,Florida,600000.0,314,Financial Services,50,2011,1,Miami
RapidOps,rapidops.com,North Carolina,300000.0,314,Software,125,2014,1,Charlotte
Waiakea,waiakeasprings.com,California,700000.0,313,Food & Beverage,26,2012,3,Culver City
Nolan Transportation Group,ntgfreight.com,Georgia,81200000.0,313,Logistics & Transportation,858,2005,5,Atlanta
TapResearch,tapresearch.com,California,1300000.0,312,Business Products & Services,13,2013,2,San Carlos
Custom Decks,newcustomdecks.com,Colorado,300000.0,312,Construction,25,1997,2,Centennial
Rent Ready,http://rentready.com,North Carolina,500000.0,312,Real Estate,26,2013,1,Charlotte
30 Lines,30lines.com,Ohio,200000.0,312,Advertising & Marketing,19,2008,1,Columbus
MagMod,magnetmod.com,Arizona,600000.0,311,Consumer Products & Services,22,2013,2,Tucson
The Idea Box - Powered by Proforma,sms-theideabox.com,Florida,300000.0,311,Business Products & Services,8,2013,2,Ft. Lauderdale
SEI-Dallas,sei.com/dallas-office,Texas,300000.0,311,Business Products & Services,12,2008,2,Dallas
Under30Experiences,under30experiences.com,Texas,300000.0,311,Travel & Hospitality,12,2012,2,Austin
Calyx,calyxit.com,Ohio,300000.0,311,IT Management,22,2004,1,Westlake
Mobile Posse,mobileposse.com,Virginia,5800000.0,310,Advertising & Marketing,57,2005,2,Arlington
Intelligent Waves,intelligentwaves.com,Virginia,3900000.0,310,IT System Development,191,2006,1,Reston
KPG Healthcare,kpghealthcare.com,California,2900000.0,310,Health,380,2012,4,El Segundo
Jeff Shipley Enterprises,facebook.com/jsefamily,North Dakota,2200000.0,310,Real Estate,33,2006,1,Fargo
Verified First,http://verifiedfirst.com,Idaho,1300000.0,310,Human Resources,108,2013,4,Meridian
